Arabic, عربى
A product type is not defined for the indexer.,لم يتم تعريف نوع منتج للفهرسة.
%1 doesn't extend \Magento\Catalog\Model\ResourceModel\Product\Indexer\Price\DefaultPrice,غير ممتد %1 \Magento\Catalog\Model\ResourceModel\Product\Indexer\Price\DefaultPrice
Product with SKU %1 is not linked to product with SKU %2,المنتج مع SKU %1 غير مرتبط بالمنتج مع SKU %2
Multiple Select,خيارات متعددة
Dropdown,انزال
%1 doesn't extend \Magento\Framework\Filter\Template,غير ممتد %1 \Magento\Framework\Filter\Template
As low as,منخفضة
test,اختبار
Some exception,بعض الاستثناء
Could not get extension attributes,لا يمكن الحصول على سمات الملحق
message,رسالة
fl,فلوريدا
Lock wait timeout,مهلة انتظار القفل انتهت
123,123
Images,صور
Select...,اختر...
Category with ID: %s doesn't exist,Category with ID: %s doesn't exist
Product Name or SKU,Product Name or SKU
Start typing to find products,Start typing to find products
Product with ID: %s doesn't exist,Product with ID: %s doesn't exist
Advanced Pricing,التسعير المتقدم
Customer Group Price,سعر مجموعة العملاء
Customer Group,مجموعات العملاء
Special Price From,سعر خاص من
To,إلى
Done,انتهى
Product Alerts,تنبيهات المنتج
Alert stock,تنبية المخزون
Alert Stock,تنبية المخزون
Alert price,تنبيه السعر
Alert Price,تنبيه السعر
Add Selected,إضافة المحدد
Select Attribute,حدد السمة
Create New Attribute,انشاء سمة جديدة
Customizable Options,خيارات مخصصة
Custom options let customers choose the product variations they want.,خيارات مخصصة تتيح للعملاء اختيار اختلافات المنتج الذي يريدونه.
Add Option,اضف خيار
New Option,خيار جديد
Select Product,حدد المنتج
Option Title,عنوان الاختيار
Add Value,اضف قيمة
Title,العنوان
Option Type,نوع الخيار
Required,مطلوب
Price Type,نوع الأسعار
Max Characters,الأحرف كحد أقصى
Compatible File Extensions,ملحقات الملفات المتوافقة
"Enter separated extensions, like: png, jpg, gif.","Enter separated extensions, like: png, jpg, gif."
Maximum Image Size,حجم الصورة الأقصى
Please leave blank if it is not an image.,الرجاء تركه فارغاً إذا لم تكن صورة.
1%,1%
Processor %1 doesn't implement WysiwygConfigDataProcessorInterface. It will be skipped,Processor %1 doesn't implement WysiwygConfigDataProcessorInterface. It will be skipped
This item has weight,يحتوي هذا العنصر على وزن
This item has no weight,لا يحتوي هذا العنصر على وزن
Set Product as New From,تعيين المنتج على انه جديد من
"Related Products, Up-Sells, and Cross-Sells",المنتجات ذات الصلة, حتى تبيع وتبيع عبر,,,,
Related products are shown to customers in addition to the item the customer is looking at.,إظهار المنتجات ذات الصلة للعملاء بالإضافة إلى العنصر الذي يتطلع اليه العملاء في.
Add Related Products,إضافة منتجات ذات صلة
An up-sell item is offered to the customer as a pricier or higher-quality alternative to the product the customer is looking at.,العنصر المباع الذي قدم للعميل كبديل , السعر أعلى أو جودة المنتج أعلى مما يبحث عنه العميل.,,,,
Add Up-Sell Products,إضافة حتى بيع المنتجات
Up-Sell Products,حتى بيع المنتجات
"These ""impulse-buy"" products appear next to the shopping cart as cross-sells to the items already in the shopping cart.","هذه المنتجات ""دفعة الشراء"" تظهر بجانب سلة التسوق ""تقاطع بيع"" للعناصر موجودة أصلاً في سلة التسوق."
Add Cross-Sell Products,إضافة المنتجات عبر بيع
Cross-Sell Products,عبر بيع المنتجات
Add Selected Products,إضافة منتجات مختارة
Remove,إزالة
Thumbnail,صورة مصغره
Actions,اعمال
Schedule Update From,جدولة التحديث من
Product in Websites,المنتج في الموقع
"If your Magento installation has multiple websites, you can edit the scope to use the product on specific sites.",إذا ثبت ماجينتو على عدة مواقع, يمكنك تحرير النطاق لاستخدام المنتج في مواقع محددة.,,,,
name,اسم
Copy Data from,نسخ البيانات من
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products &gt; Categories</a>.","إذا كان لايوجد هناك فئات أصل مخصصة، الرجاء استخدام فئة الأصل الافتراضي. '' يمكنك تعيين الفئة في أي وقت في '' <a href=""%1"" target=""_blank""> منتجات > الفئات</a>."
This operation can take a long time,يمكن أن تستغرق هذه العملية وقتاً طويلاً
Collapse All,طوي الكل
Expand All,عرض الكل
Please confirm site switching. All data that hasn't been saved will be lost.,الرجاء التأكد من تحويل النطاق. سيتم فقدان كافة البيانات التي لم يتم حفظها.
Use Default Value,استخدام قيمة افتراضية
"Manage Titles (Size, Color, etc.)","ادارة العناوين (حجم, لون, الخ)."
Manage Options (Values of Your Attribute),إدارة خيارات (قيم السمة الخاصة بك)
Is Default,هي افتراضية
Sort Option,خيار الترتيب
The value of Admin must be unique.,يجب أن تكون قيمة Admin قيمة فريدة.
Groups,مجموعات
Double click on a group to rename it.,قم بالضغط مرتين على المجموعة لاعادة تسميتها.
Unassigned Attributes,غير معين الصفات
A name is required.,يجب ادخال اسم.
This group contains system attributes. Please move system attributes to another group and try again.,وهذا النظام يحتوي على مجموعة من الصفات. نظام الانتقال الرجاء الصفات الى مجموعة أخرى وحاول مرة أخرى.
Please select a node.,الرجاء تحديد عقده.
Please enter a new group name.,الرجاء إدخال اسم مجموعة جديدة.
"An attribute group named ""/name/"" already exists.","مجموعة سمة تمسى ""/بهذا الإسم/"" موجودة."
"Sorry, we're unable to complete this request.",عذراً, لكننا غير قادر على إكمال هذا الطلب.,,,,
You can't remove attributes from this attribute set.,لا يمكنك إزالة السمات من مجموعة السمات.
Custom Options,خيارات مخصصة
This is a required option.,هذا الخيار مطلوب.
The field isn't complete.,الحقل فارغ.
Compatible file extensions to upload,ملحقات أسماء الملفات المتوافقة للتحميل
Maximum image width,عرض الصورة كحد أقصى
Maximum image height,ارتفاع الصورة كحد أقصى
Maximum number of characters:,الحد الأقصى لعدد الأحرف:
start typing to search template,ابدأ الكتابة للبحث عن القالب
Product online,المنتج على الإنترنت
Product offline,المنتج غير متصل
Product online status,حالة المنتج على الإنترنت
Manage Stock,إدارة المخزون
Qty,الكميّة
Out-of-Stock Threshold,حدود انتهاء المخزون
Minimum Qty Allowed in Shopping Cart,اقل كمية مسموح بها في سلة التسوق
Maximum Qty Allowed in Shopping Cart,اكبر كمية مسموح بها في سلة التسوق
Qty Uses Decimals,كمية تستخدم ارقام عشرية
Backorders,طلبات لمنتجات غير متوفرة
Notify for Quantity Below,اخطار لكمية ادناه
Enable Qty Increments,تمكين زيادة الكميات
Qty Increments,زيادة الكميات
Stock Availability,توفر المخزون
In Stock,متوفر في المخزن
Out of Stock,غير متوفر بالمخزن
Add Product To Websites,اضف منتج الى الموقع
Remove Product From Websites,حذف المنتج من الموقع
"To hide an item in catalog or search results, set the status to ""Disabled"".","لإخفاء عنصر في نتائج البحث أو الكتالوج، ضع الحالة على ""معطل""."
We can't save custom-defined options for bundles with dynamic pricing.,لا يمكن حفظ خيارات محدد- مخصصة للحزم مع التسعير الديناميكي.
Delete Custom Option,حذف الخيار المخصص
Sort Custom Options,خيارات فرز مخصص
Input Type,نوع الإدخال
%1 <span>x</span> %2 <span>px.</span>,%1 <span>x</span> %2 <span>px.</span>
Sort Custom Option,خيارات فرز مخصص
Item Price,سعر الصنف
Action,إجراء
and above,و فوق
Delete Tier,حذف مستوى
Product In Websites,المنتج في الموقع
(Copy data from: %1),(انسخ البيانات من: %1)
Browse to find or drag image here,استعرض للوصول إلى إيجاد أو اسحب الصورة هنا
Delete image,حذف الصورة
Hidden,مخفي
Alt Text,النص البديل
Role,دور
Image Size,حجم الصورة
{size},{size}
Image Resolution,دقة الصورة
{width}^{height} px,{width}^{height} px
Hide from Product Page,إخفاء من صفحة المنتج
Allow Multiple Boxes for Shipping,السماح بصناديق متعددة للشحن
start typing to search attribute,الكتابة للبحث عن السمة
Basic Settings,الإعدادات الأساسية
Advanced Settings,الإعدادات المُتقدّمة
Changes have been made to this section that have not been saved.,تم إجراء تغييرات في هذا القسم و التي لم يتم حفظها.
This tab contains invalid data. Please resolve this before saving.,تحتوي علامة التبويب هذه على بيانات غير صحيحة. الرجاء تصحيحها قبل الحفظ.
Mass Actions,الإجراءات الجماعية
Select All,اختيار الكل
Unselect All,غير منتقي للجميع
Select Visible,اختيار الظهور
Unselect Visible,غير مختار الظاهر
Special Price,سعر خاص
Regular Price,السعر العادي
Buy %1 for:,%1 الشراء:
"Buy %1 for %2 each and <strong class=""benefit"">save<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>","شراء %1 لكل %2 و <strong class=""benefit"">حفظ<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>"
Buy %1 for %2 each,شراء %1 لكل %2
Shop By,تصفح عبر
Shopping Options,خيارات تنفيذ البيع
Compare Products,مقارنة المنتجات
Print This Page,طباعة هذه الصفحة
Remove Product,إزالة منتج
Add to Cart,أضف لسلة التسوق
In stock,متوفر
Out of stock,غير متوفر بالمخزن
Add to Wish List,اضف الى قائمة الامنيات
You have no items to compare.,لا يوجد منتجات للمقارنة الآن.
Remove This Item,حذف هذا العنصر
Compare,مقارنة
Clear All,إلغاء الكل
Prev,السابق
Next,التالي
We can't find products matching the selection.,لا يمكن العثور على منتجات مطابقة لإختيارك.
Learn More,إعرف المزيد
Add to Compare,إضافة إلى المقارنة
We found other products you might like!,منتجات أخرى قد تعجبك!
More Choices:,المزيد من الخيارات:
Check items to add to the cart or,تفحص المنتجات للإضافة لسلة التسوق أو
select all,اختار الجميع
Items %1-%2 of %3,%1-%2 من %3 منتج
%1 Item,%1 عنصر
%1 Items,%1 عناصر
Show,أعرض
per page,لكل صفحة
Sort By,رتب حسب
Set Ascending Direction,الصعود الى مجموعة التنبيه
Set Descending Direction,تحديد الاتجاه التنازلي
View as,مشاهدة كا
More Information,معلومات اخرى
Loading...,تحميل...
* Required Fields,* حقول مطلوبة
Availability,متوفر
Warning message,رسالة تحذير
We don't recognize or support this file extension type.,لم نتعرف او ندعم إمتداد هذا الملف.
Configure Product,إعدادات المنتج
OK,موافق
"This value does not follow the specified format (for example, 200X300).",هذه القيمة لا تتبع التنسيق المحدد (على سبيل المثال, 200 × 300).,,,,
Select type of option.,حدد نوع الخيار.
Please add rows to option.,الرجاء إضافة صفوف إلى الخيار.
An item needs to be selected. Select and try again.,An item needs to be selected. Select and try again.
Choose existing category.,اختر تصنيف موجود.
Image Detail,تفاصيل الصورة
Adding...,إضافة...
Added,تمت الاضافه
does not implement Storage Interface,"لا يقوم بتطبيق ""واجهة التخزين"""
unselect all,إلغاء تحديد الكل
Inventory,الجرد
Catalog Section,قسم الكتالوج
Small,صغير
Main,الرئيسية
Custom image,صورة مخصصة
Product Fields Auto-Generation,حقول المنتج الإنشاء التلقائي
Mask for SKU,قناع لوحدة SKU
Use {{name}} as Product Name placeholder,"استخدام {{name}} كبديل ""اسم المنتج"""
Mask for Meta Title,قناع للعنوان الوصفي
Mask for Meta Keywords,قناع لميتا الكلمات الرئيسية
Use {{name}} as Product Name or {{sku}} as Product SKU placeholders,"استخدام {{name}} ""اسم المنتج"" أو {{sku}} كعناصر بديلة ""SKU المنتج"""
Mask for Meta Description,قناع لوصف ميتا
Use {{name}} and {{description}} as Product Name and Product Description placeholders,استخدام {{name}} و {{description}} كعناصر بديلة لاسم المنتج ووصف المنتج
Recently Viewed/Compared Products,المنتجات المشاهدة/المقارنة حديثا
Lifetime of products in Recently Viewed Widget,مدة المنتجات في واجهة المنتجات التي شوهدت موخرا
Lifetime of products in Recently Compared Widget,مدة المنتجات في واجهة المنتجات التي تم مقارنتها مؤخرا
Synchronize widget products with backend storage,مزامنة منتجات الواجهة مع المستودع
Storefront,واجهة المتجر
List Mode,وضع القائمة
Products per Page on Grid Allowed Values,منتجات لكل صفحة على شبكة القيم المسموح بها
Comma-separated.,مفصولة بفواصل.
Products per Page on Grid Default Value,منتجات لكل صفحة على شبكة القيمة الافتراضية
Must be in the allowed values list,يجب أن يكون في قائمة القيم المسموح بها
Products per Page on List Allowed Values,منتجات لكل صفحة على قائمة القيم المسموح بها
Products per Page on List Default Value,منتجات لكل صفحة في قائمة القيمة الافتراضية
Use Flat Catalog Category,استخدم فئة كتالوج مسطح
Use Flat Catalog Product,إستخدام Flat Catalog Product
Product Listing Sort by,ترتيب المنتجات حسب
Allow All Products per Page,السماح لجميع المنتجات في كل صفحة
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown","ما إذا كان سيتم إظهار خيار ""الكل"" في القائمة المنسدلة ""إظهار X لكل صفحة"""
Allow Dynamic Media URLs,Allow Dynamic Media URLs
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","مثل {{url=""path/to/image.jpg وسائل الإعلام""}} {{الجلد url=""path/to/picture.gif""}}. كتالوج ديناميكية التوجيهات المتعلقة بتحليل آثار الأداء."
Product Image Placeholders,صورة المنتج placeholders
Search Engine Optimization,تحسين محركات البحث
Page Title Separator,فاصل عنوان الصفحة
Use Canonical Link Meta Tag For Categories,استخدم علامة Meta طبقا للارتباط الكنسي للفئات
Use Canonical Link Meta Tag For Products,استخدم علامة Meta طبقا للارتباط الكنسي للمنتجات
Catalog Price Scope,نطاق اسعار دليل المنتجات
"This defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","هذا يحدد نطاق العملة الأساسية (إعداد ""العملة"" > ""خيارات العملة"" > ""العملة الأساسية"")."
Category Top Navigation,أعلى إنتقال للفئة
Maximal Depth,أقصى عمق
Date & Time Custom Options,خيارات مخصصة للتاريخ & الوقت
Use JavaScript Calendar,استخدام تقويم جافا سكريبت
Date Fields Order,ترتيب حقول التاريخ
Time Format,تنسيق الوقت
Year Range,نطاق السنة
Please use a four-digit year format.,يرجى استخدام تنسيق أربعة أرقام للسنة.
Use Static URLs for Media Content in WYSIWYG,Use Static URLs for Media Content in WYSIWYG
Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes.,Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes.
Top Level Category,التصنيف الاعلى درجة
Default Layouts,Default Layouts
Default Product Layout,Default Product Layout
Default Category Layout,Default Category Layout
Product Info Column,عمود معلومات المنتج
Block after Info Column,كتلة بعد عمود المعلومات
Product Flat Data,البيانات المسطحة للمنتجات
Reorganize EAV product structure to flat structure,إعادة تنظيم هيكل المنتجات EAV إلى بنية مسطحة
Category Flat Data,بيانات مسطحة للفئات
Reorganize EAV category structure to flat structure,إعادة تنظيم هيكل الفئات EAV لفئة هيكل مسطح
Category Products,قسم المنتجات
Indexed category/products association,رابطة فهرسة الفئة/المنتجات
Product Categories,فئات المنتج
Indexed product/categories association,رابطة فهرسة المنتج/الفئات
Product Price,سعر المنتج
Index product prices,مؤشر أسعار المنتج
Product EAV,EAV للمنتج
Index product EAV,EAV فهرس المنتج
Catalog New Products List,قائمة المنتجات الجديدة في كتالوج
List of Products that are set as New,قائمة بالمنتجات التي تم تعيينها كالجديدة
Display Type,نوع العرض
"All products - recently added products, New products - products marked as new",جميع المنتجات-منتجات أضيفت مؤخرا , والمنتجات الجديدة-المنتجات التي تم وضع علامة جديدة,,,,
All products,جميع المنتجات
New products,المنتجات الجديدة
Display Page Control,عرض عنصر التحكم في الصفحة
Number of Products per Page,عدد المنتجات في الصفحة
Number of Products to Display,عدد المنتجات للعرض
Template,قالب
New Products Grid Template,المنتجات الجديدة قالب الشبكة
New Products List Template,المنتجات الجديدة قالب القائمة
New Products Images and Names Template,قالب أسماء وصور منتجات جديدة
New Products Names Only Template,قالب أسماء المنتجات الجديدة فقط
New Products Images Only Template,قالب لصور المنتجات الجديدة فقط
Cache Lifetime (Seconds),عمر ذاكرة التخزين المؤقت (بالثواني)
Time in seconds between the widget updates.,
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.,,,,
"                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.""",Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.,,,,
"                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.""",
Catalog Product Link,رابط كتالوج المنتج
Link to a Specified Product,إرتباط بمنتج محدد
Select Product...,اختر المنتج...
Anchor Custom Text,نص مرساة مخصص
"If empty, we'll use the product name here.",إذا كان فارغاً, سوف نستخدم اسم المنتج هنا.,,,,
Anchor Custom Title,عنوان مرساة مخصص
Product Link Block Template,كتلة قالب رابط المنتج
Product Link Inline Template,قالب منسق لرابط المنتج
Catalog Category Link,رابط كتالوج الفئة
Link to a Specified Category,ارتبط إلى فئة محددة
Select Category...,اختر قسم...
"If empty, we'll use the category name here.",إذا كان فارغاً, سوف نستخدم اسم الفئة هنا.,,,,
Category Link Block Template,فئة الرابط كتلة القالب
Category Link Inline Template,رابط قالب الفئة مضمن
Recently Viewed Products,المنتجات المشاهدة حديثا
List of Products Recently Viewed by Visitor,قائمة بالمنتجات التي استعرضها الزائر مؤخرا
UI Component,عنصر واجهة المستخدم
Number of Products to display,عدد المنتجات للعرض
Product attributes to show,سمات المنتج التي ستظهر
Image,صورة
Learn More Link,رابط للمزيد
Buttons to show,الأزرار التي ستظهر
Add to Wishlist,إضافة إلى قائمة الأمنيات
Viewed Products Grid Template,قالب الشبكة للمنتجات المستعرضة
Viewed Products List Template,قالب قائمة المنتجات المستعرضة
Viewed Products Sidebar Template,قالب الشريط الجانبي للمنتجات المستعرضة
Recently Compared Products,المنتجات المقارنة حديثا
List of Products Recently Compared by Visitor,قائمة المنتجات التى تمت مقارنتها مؤخرا من قبل الزوار
Compared Products Grid Template,نموذج لشبكة مقارنة المنتجات
Compared Products List Template,نموذج لقائمة مقارنة المنتجات
Set,ضبط
Category Information,معلومات الفئة
Enable Category,تفعيل القسم
Include in Menu,أدراج في القائمة
Content,المحتوى
Category Image,صورة القسم
Description,الوصف
Add CMS Block,إضافة كتلة CMS
Display Settings,إعدادات العرض
Display Mode,طريقة العرض
Anchor,مرساة
Available Product Listing Sort By,فرز قائمة المنتجات المتاحة حسب
Use All,استخدم الكل
Default Product Listing Sort By,فرز قائمة المنتج الإفتراضي حسب
Layered Navigation Price Step,خطوة تنقل مستوى السعر
URL Key,مفتاح URL
Meta Title,Meta: العنوان
Meta Keywords,Meta: الكلمات الدلالية
Meta Description,Meta: الوصف
Products in Category,المنتجات في القسم
Design,تصميم
Theme,مظهر
Layout,تخطيط
Layout Update XML,تحديث لغة الترميز القابلة للامتداد النسق
Apply Design to Products,تطبيق التصميم على المنتجات
Schedule Design Update,جدولة تحديث التصميم
AttributeSetText,نص تعيين التمييزات
StatusText,نص الحالة
Product Image Watermarks,صورة المنتج ماءيه
Base,قاعدة
"Allowed file types: jpeg, gif, png.","أنواع الملفات المسموحة: jpeg, gif, png."
Image Opacity,درجة شفافية الصورة
Example format: 200x300.,شكل على سبيل المثال: 200 × 300.
Image Position,موضع الصورة
Attribute Properties,خصائص السمة
Attribute Label,علامة السمة
Text Editor input type requires WYSIWYG to be enabled in Stores > Configuration > Content Management.,Text Editor input type requires WYSIWYG to be enabled in Stores > Configuration > Content Management.
Catalog Input Type for Store Owner,نوع الإدخال لصاحب المتجر
Values,القيم
Add this attribute to the list of column options in the product grid.,أضف هذه السمة إلى قائمة خيارات العمود في شبكة المنتج.
Add this attribute to the list of filter options in the product grid.,أضف هذه السمة إلى قائمة خيارات التصفية في شبكة المنتج.
System,النظام
All Store Views,واجهه جميع المواقع
Delete selected items?,هل تريد حذف العناصر المحددة؟
Delete items,حذف عناصر
Change status,تغيير الحالة
Enable,تفعيل
Disable,إبطال
Update attributes,تحديث السمات
Overview,نظره عامة
Skip to the end of the images gallery,انتقل إلى النهاية معرض الصور
Skip to the beginning of the images gallery,تخطي إلى بداية معرض الصور
Details,التفاصيل
Recently Compared,تمت مقارنتها مؤخرا
Add To Cart,أضف لسلة التسوق
Add To Compare,إضافة إلى المقارنة
Learn more,إعرف المزيد
Recently Viewed,استعرضت مؤخرا
Edit Event,تعديل الحدث
Add Event,إضافة حدث
Events,الأحداث
Add Catalog Event,إضافة حدث للكتالوج
Save and Continue Edit,حفظ ومواصلة التعديل
Back to Category,العودة إلى القسم
Edit Catalog Event,تعديل الحدث التسويقي
Catalog Event Information,معلومات الحدث التسويقي
Category,القسم
Start Date,تاريخ البدء
End Date,تاريخ الانتهاء
Image,صورة
Sort Order,الترتيب
Upcoming,قريبا
Open,فتح
Closed,مغلق
Display Countdown Ticker On,عرض العد التنازلي على الشريط
Category Page,صفحة القسم
Product Page,صفحة المنتجات
Status,الحاله
[GLOBAL],[عام]
[WEBSITE],[الموقع]
[STORE VIEW],[عرض المتجر]
Coming Soon,قريباً
Sale Ends In,ينتهي البيع في
Catalog,دليل المنتجات
You deleted the event.,قمت بحذف الحدث.
New Event,حدث جديد
Default Values,القيم الافتراضية
Something went wrong while saving this event.,حدث خطأ أثناء حفظ هذا الحدث.
We did not upload your image.,لم نقم بتحميل الصورة الخاصة بك.
You saved the event.,قمت بحفظ هذا الحدث.
%1 is required.,%1 مطلوب.
Please make sure the end date follows the start date.,الرجاء التأكد من أن تاريخ النهاية يلي تاريخ البداية.
Event for selected category,حدث للفئة المحددة
Lister Block,كتلة المنتجات
This product is no longer on sale.,لم يعد هذا المنتج للبيع.
Some of these products can no longer be sold.,بيع بعض هذه المنتجات لم يعد ممكنا.
Select Category,اختر قسم
Use Default Value,استخدام قيمة افتراضية
Days,ايام
Hrs,ساعات
Mins,دقائق
Sec,ثواني
Preview Sale,معاينة البيع
Go To Sale,الذهاب للبيع
View Sale,عرض البيع
Previous,السابق
Next,التالي
Catalog Events,كتالوج الأحداث
Enable Catalog Events Functionality,تمكين وظائف كتالوج الأحداث
Enable Catalog Event Widget on Storefront,تمكين المربعات الجانبية لكتالوج الأحداث على واجهة المتجر
Number of Events to be Displayed in Event Slider Widget,عدد الأحداث التي سيتم عرضها في مربعات الحدث الجانبية
"You can override this default value in CMS using the limit=""x"" variable. Leave empty for no limitation.","يمكنك تجاوز هذه القيمة الافتراضية في نظام الإدارة الوظيفية باستخدام الحد الأقصى = ""x"" متغير. تترك فارغة عندما لاتوجد قيود."
Events to Scroll per Click in Event Slider Widget,عدد الأحداث التي تمر عند كل نقرة في شريط المربعات الجانبية
"You can override this default value in CMS using the limit=""x"" variable.","يمكنك تجاوز هذه القيمة الافتراضية في نظام الإدارة الوظيفية باستخدام الحد = ""x"" المتغير."
Catalog Events Carousel,كتالوج الأحداث الدائري
List all open Catalog Events as a Paginated Carousel,اسرد كافة أحداث الكتالوج المفتوحة كصفحات دائرية
Frame Size,حجم الإطار
Number of Items to display at once,عدد العناصر التي يتم عرضها في وقت واحد
Scroll,تمرير
Number of Items to scroll per click,عدد العناصر التي تمر عند كل نقرة
Block Custom Width,عرض الكتلة المخصص
"If empty, we'll automatically set the width value in pixels.",سوف يتم تعيين قيمة العرض بالبكسل تلقائياً إذا تركت فارغة.
Catalog Events Carousel Default Template,القالب الافتراضي لكتالوج الأحداث الدائري
ID,التعريف
Category ID,رقم القسم
Start,ابدء
End,نهاية
Countdown Ticker,شريط العد التنازلي
Action,إجراء
Edit,تعديل
Concrete type for %1 not implemented,Concrete type for %1 not implemented
Missing key %1 in product data,Missing key %1 in product data
currentPage value %1 specified is greater than the number of pages available.,currentPage value %1 specified is greater than the number of pages available.
"""id for category should be specified","""id for category should be specified"
No child sku found for product link.,No child sku found for product link.
'search' or 'filter' input argument is required.,'search' or 'filter' input argument is required.
SimpleProduct type not defined in schema.,SimpleProduct type not defined in schema.
Entity type model '%1' is not found,نموذج الكيان '%1' غير موجود
Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType,قيمة الأسم المدخلة يجب أن تكون مماثلة لـ ' \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType
There are no product types available for export.,لا تتوفر أي من أنواع المنتجات للتصدير.
'Entity type model must be an instance of ' .,'قيمة الأسم المدخلة يجب أن تكون مماثلة لـ'.
"Wrong attribute set code ""%1"", please correct it and try again.","رمز ""%1"" تعيين سمة خاطئ، الرجاء تصحيح ذلك وإعادة المحاولة."
"Category ""%1"" has not been created.","لم يتم إنشاء الفئة ""%1""."
File directory '%1' is not readable.,دليل الملف '%1' غير قابل للقراءة.
File directory '%1' is not writable.,مكان الملف '%1' غير قابل للكتابة.
Value for 'price' sub attribute in 'store' attribute contains incorrect value,قيمة سمة 'الأسعار' في السمة 'تخزين' تحتوي على قيمة غير صحيحة
"Value for 'type' sub attribute in 'custom_options' attribute contains incorrect value, acceptable values are: 'dropdown', 'checkbox'",القيمة ل 'اكتب' في السمة 'خيارات ـ مخصصة' يحتوي على قيمة غير صحيحة, والقيم المقبولة: 'القائمة المنسدلة', 'خانة الاختيار',,,
Please enter a value for title.,برجاء ادخال عنوان.
Value for 'price' sub attribute in 'custom_options' attribute contains incorrect value,قيمة سمة 'الأسعار' في السمة 'خيارات ـ مخصصة' يحتوي على قيمة غير صحيحة
Value for 'maximum characters' sub attribute in 'custom_options' attribute contains incorrect value,قيمة سمة 'الحد الأقصى للأحرف'في السمة 'خيارات ـ مخصصة' يحتوي على قيمة غير صحيحة
Value for 'sort order' sub attribute in 'custom_options' attribute contains incorrect value,قيمة سمة 'ترتيب الطلب' في السمة 'خيارات ـ مخصصة' يحتوي على قيمة غير صحيحة
Value for 'value price' sub attribute in 'custom_options' attribute contains incorrect value,قيمة سمة 'قيمة السعر' في السمة 'خيارات ـ مخصصة' يحتوي على قيمة غير صحيحة
This name is already being used for custom option. Please enter a different name.,هذا الاسم مستخدم بالفعل لخيار مخصص لعميل. الرجاء إدخال اسم مختلف.
Custom options have different types.,خيارات مخصصة لها أنواع مختلفة.
Every option entity must have a parent product entity.,يجب أن يكون لدى كل كيان خيار كيان منتج رئيسي.
Please correct the parameters.,الرجاء تصحيح المعلمات.
File '%1' was not found or has read restriction.,لم يتم العثور على الملف '%1' أو يوجد عليه قيد قراءة.
Invalid Stock data for insert,Invalid Stock data for insert
ALL GROUPS,جميع المجموعات
Customer Group,مجموعات العملاء
Minimum Qty,الحد الأدنى من الكمية
Add Minimum Qty,اضف حد أدنى للكمية
We can't rebuild the index for an undefined product.,لا يمكن إعادة إنشاء الفهرس لمنتج غير معروف.
Could not rebuild index for empty products array,لا يمكن إعادة إنشاء الفهرس لمجموعة منتجات فارغة
The Product stock item is invalid. Verify the stock item and try again.,The Product stock item is invalid. Verify the stock item and try again.
This product is out of stock.,هذا المنتج غير متوفر في المخزن.
Some of the products are out of stock.,بعض المنتجات غير متوفرة بالمخزن.
The stock item for Product in option is not valid.,عنصر التخزين لهذا المنتج في الخيار غير صحيح.
Undefined product type,نوع المنتج غير معروف
%1 is not a correct comparison method.,%1 ليس أسلوب مقارنة صحيحة.
No Backorders,لا توجد طلبات لمنتجات غير متوفرة
Allow Qty Below 0,السماح بالكمية 0
Allow Qty Below 0 and Notify Customer,السماح بكمية تحت ال 0 و أعلام العميل
In Stock,متوفر في المخزن
Out of Stock,غير متوفر بالمخزن
The stock item was unable to be saved. Please try again.,The stock item was unable to be saved. Please try again.
"The stock item with the ""%1"" ID wasn't found. Verify the ID and try again.","The stock item with the ""%1"" ID wasn't found. Verify the ID and try again."
The stock was unable to be saved. Please try again.,The stock was unable to be saved. Please try again.
"The stock with the ""%1"" ID wasn't found. Verify the ID and try again.","The stock with the ""%1"" ID wasn't found. Verify the ID and try again."
"Unable to remove Stock with id ""%1""","غير قادر على إزالة المخزون للمعرف ""%1"""
The stock status was unable to be saved. Please try again.,The stock status was unable to be saved. Please try again.
Unable to remove Stock Status for product %1,"غير قادر على إزالة ""حالة المخزون"" للمنتج %1"
"The ""%1"" value is invalid for stock ID. Enter stock with a default value of %2 to try again.","The ""%1"" value is invalid for stock ID. Enter stock with a default value of %2 to try again."
